t_s,pos,raw_speed,decoded_speed,load,voltage,temp,status,moving
0.000001,3892,0,0,0,120,33,0,1
0.003741,3892,0,0,0,120,33,0,1
0.006712,3892,0,0,24,120,33,0,1
0.009697,3892,0,0,24,120,33,0,1
0.012690,3892,0,0,24,119,33,0,1
0.015728,3892,0,0,28,120,33,0,1
0.018717,3892,0,0,36,119,33,0,1
0.021851,3892,0,0,36,119,33,0,1
0.025817,3892,0,0,36,119,33,0,1
0.029734,3892,0,0,44,120,33,0,1
0.032723,3892,0,0,44,120,33,0,1
0.035727,3892,0,0,48,120,33,0,1
0.038714,3892,0,0,56,120,33,0,1
0.041696,3892,0,0,56,120,34,0,1
0.044694,3892,0,0,56,120,33,0,1
0.047713,3892,0,0,64,120,33,0,1
0.050711,3892,0,0,64,120,33,0,1
0.053699,3892,0,0,64,120,33,0,1
0.056825,3891,0,0,64,120,33,0,1
0.060825,3891,0,0,64,119,33,0,1
0.064728,3891,0,0,72,120,33,0,1
0.067746,3890,0,0,64,120,33,0,1
0.070724,3890,32868,100,64,120,33,0,1
0.073719,3889,32868,100,64,119,33,0,1
0.076700,3889,32868,100,56,120,34,0,1
0.079699,3888,32868,100,56,120,33,0,1
0.082719,3888,32868,100,56,120,33,0,1
0.085708,3887,32868,100,48,120,33,0,1
0.088716,3887,32918,150,56,120,33,0,1
0.091840,3887,32918,150,64,120,33,0,1
0.095010,3887,32918,150,68,120,33,0,1
0.098713,3886,32918,150,68,120,33,0,1
0.101749,3886,32918,150,68,120,33,0,1
0.104743,3886,32918,150,76,119,33,0,1
0.107720,3885,32918,150,68,120,33,0,1
0.110712,3885,32868,100,76,120,33,0,1
0.113699,3884,32868,100,68,120,33,0,1
0.116714,3884,32868,100,72,120,33,0,1
0.119701,3884,32868,100,72,120,33,0,1
0.122717,3883,32868,100,72,120,34,0,1
0.125700,3882,32868,100,64,119,33,0,1
0.128858,3882,32918,150,72,120,33,0,1
0.132776,3881,32918,150,72,120,33,0,1
0.135738,3881,32918,150,76,120,33,0,1
0.138732,3880,32918,150,76,120,33,0,1
0.141713,3880,32918,150,76,119,33,0,1
0.144696,3879,32918,150,76,120,33,0,1
0.147719,3879,32918,150,84,120,33,0,1
0.150759,3878,32918,150,76,120,33,0,1
0.153841,3878,32918,150,84,120,33,0,1
0.157809,3877,32918,150,84,119,33,0,1
0.161817,3876,32918,150,84,120,33,0,1
0.165839,3876,32918,150,92,120,33,0,1
0.169834,3875,32968,200,92,120,33,0,1
0.173758,3874,32968,200,92,120,33,0,1
0.176713,3874,32968,200,92,119,33,0,1
0.179712,3873,32968,200,92,120,33,0,1
0.182720,3873,32968,200,100,119,33,0,1
0.185715,3872,32968,200,100,120,33,0,1
0.188725,3871,32968,200,92,120,33,0,1
0.191710,3871,32968,200,100,120,33,0,1
0.194719,3870,32968,200,100,120,33,0,1
0.197704,3869,32968,200,100,120,33,0,1
0.200794,3869,32968,200,100,120,33,0,1
0.203817,3868,32968,200,100,120,34,0,1
0.206765,3867,32968,200,100,120,33,0,1
0.209715,3866,32968,200,100,120,33,0,1
0.212746,3866,32968,200,108,120,33,0,1
0.215711,3865,32968,200,104,119,33,0,1
0.218739,3864,32968,200,96,120,33,0,1
0.221727,3863,32968,200,96,120,33,0,1
0.224709,3863,32968,200,104,120,33,0,1
0.227705,3862,32968,200,104,120,33,0,1
0.230707,3861,33068,300,104,120,33,0,1
0.233724,3860,33068,300,104,120,33,0,1
0.236798,3859,33068,300,108,119,33,0,1
0.239837,3858,33068,300,108,120,33,0,1
0.243767,3857,33068,300,108,120,33,0,1
0.246728,3856,33068,300,108,120,33,0,1
0.249747,3856,33018,250,116,120,33,0,1
0.252734,3855,33018,250,108,120,33,0,1
0.255743,3854,33018,250,104,119,33,0,1
0.258733,3853,33018,250,104,119,33,0,1
0.261708,3852,33018,250,104,120,33,0,1
0.264745,3851,33018,250,104,120,33,0,1
0.267731,3850,33018,250,104,120,34,0,1
0.270712,3849,33068,300,104,119,33,0,1
0.273860,3848,33068,300,104,119,33,0,1
0.277795,3847,33068,300,104,119,33,0,1
0.280712,3846,33068,300,104,120,33,0,1
0.283759,3845,33068,300,104,120,33,0,1
0.286722,3844,33068,300,104,120,33,0,1
0.289731,3843,33118,350,104,119,33,0,1
0.292711,3842,33118,350,96,120,33,0,1
0.295723,3841,33118,350,96,120,33,0,1
0.298730,3841,33118,350,104,120,33,0,1
0.301720,3840,33118,350,104,120,33,0,1
0.304731,3839,33118,350,104,120,33,0,1
0.307742,3838,33118,350,104,120,33,0,1
0.310854,3837,33018,250,104,120,33,0,1
0.314789,3835,33018,250,96,119,33,0,1
0.317755,3835,33018,250,104,120,33,0,1
0.320716,3834,33018,250,104,120,33,0,1
0.323731,3833,33018,250,104,120,33,0,1
0.326709,3832,33018,250,104,120,33,0,1
0.329716,3831,33068,300,104,120,33,0,1
0.332734,3830,33068,300,96,119,33,0,1
0.335726,3830,33068,300,104,120,33,0,1
0.338728,3828,33068,300,104,120,33,0,1
0.341719,3828,33068,300,104,120,33,0,1
0.344788,3827,33068,300,104,120,33,0,1
0.347846,3826,33068,300,104,120,33,0,1
0.351876,3824,33068,300,96,119,33,0,1
0.355056,3824,33068,300,104,120,33,0,1
0.358865,3822,33068,300,104,120,33,0,1
0.362805,3821,33068,300,104,120,33,0,1
0.365763,3820,33068,300,104,119,33,0,1
0.368730,3819,33068,300,104,120,33,0,1
0.371743,3818,33068,300,96,120,34,0,1
0.374721,3817,33068,300,96,120,34,0,1
0.377713,3817,33068,300,104,119,33,0,1
0.380709,3815,33068,300,96,120,33,0,1
0.383864,3814,33068,300,96,119,33,0,1
0.387816,3814,33068,300,104,120,33,0,1
0.390752,3813,33068,300,104,120,33,0,1
0.393729,3812,33068,300,104,119,33,0,1
0.396739,3811,33068,300,104,119,33,0,1
0.399716,3810,33068,300,104,119,33,0,1
0.402729,3809,33068,300,104,120,33,0,1
0.405734,3808,33068,300,104,120,33,0,1
0.408716,3807,33068,300,104,120,33,0,1
0.411716,3806,33068,300,96,120,33,0,1
0.414718,3805,33068,300,96,120,33,0,1
0.417744,3805,33068,300,104,120,33,0,1
0.420902,3803,33068,300,96,119,33,0,1
0.424856,3802,33068,300,104,119,33,0,1
0.428754,3801,33068,300,104,119,33,0,1
0.431761,3800,33068,300,96,120,33,0,1
0.434753,3800,33068,300,104,120,33,0,1
0.437717,3799,33068,300,104,120,33,0,1
0.440735,3798,33068,300,104,120,33,0,1
0.443726,3797,33068,300,104,120,33,0,1
0.446720,3796,33068,300,104,120,33,0,1
0.449741,3795,33068,300,104,120,33,0,1
0.452731,3794,33068,300,104,120,33,0,1
0.455736,3793,33068,300,104,120,33,0,1
0.458718,3792,33068,300,104,120,33,0,1
0.461713,3791,33068,300,96,120,33,0,1
0.464849,3790,33068,300,104,120,33,0,1
0.468875,3789,33068,300,104,119,33,0,1
0.472778,3788,33068,300,104,120,33,0,1
0.475737,3787,33068,300,104,120,33,0,1
0.478735,3786,33068,300,104,120,33,0,1
0.481733,3785,33068,300,96,120,33,0,1
0.484732,3784,33068,300,96,120,33,0,1
0.487719,3783,33118,350,96,120,33,0,1
0.490752,3783,33118,350,104,120,33,0,1
0.493719,3782,33118,350,104,120,33,0,1
0.496734,3781,33118,350,104,120,33,0,1
0.499745,3780,33118,350,104,120,33,0,1
0.502871,3779,33118,350,104,120,33,0,1
0.506780,3778,33118,350,104,120,33,0,1
0.509743,3777,33068,300,104,120,33,0,1
0.512724,3776,33068,300,104,119,33,0,1
0.515721,3775,33068,300,104,119,33,0,1
0.518753,3774,33068,300,104,120,33,0,1
0.521740,3773,33068,300,96,120,33,0,1
0.524725,3772,33068,300,96,120,33,0,1
0.527717,3771,33068,300,96,120,33,0,1
0.530724,3770,33068,300,96,120,33,0,1
0.533738,3770,33068,300,104,120,33,0,1
0.536825,3769,33068,300,104,120,33,0,1
0.539835,3768,33068,300,104,120,33,0,1
0.543752,3767,33068,300,104,119,33,0,1
0.546739,3766,33068,300,104,120,33,0,1
0.549756,3765,33068,300,104,120,33,0,1
0.552822,3764,33068,300,104,120,33,0,1
0.555813,3763,33068,300,104,120,33,0,1
0.558812,3762,33068,300,104,120,33,0,1
0.561742,3761,33068,300,96,119,33,0,1
0.564734,3761,33068,300,104,120,33,0,1
0.567726,3760,33018,250,104,120,33,0,1
0.570724,3759,33018,250,104,120,33,0,1
0.573830,3757,33018,250,96,120,33,0,1
0.577838,3757,33018,250,112,120,33,0,1
0.581730,3756,33018,250,104,119,33,0,1
0.584760,3755,33018,250,104,120,33,0,1
0.587737,3754,33068,300,104,120,33,0,1
0.590748,3753,33068,300,104,120,33,0,1
0.593724,3752,33068,300,104,120,33,0,1
0.596738,3751,33068,300,104,119,33,0,1
0.599728,3750,33068,300,104,120,33,0,1
0.602721,3749,33068,300,104,120,33,0,1
0.605742,3748,33068,300,104,120,33,0,1
0.608778,3747,33068,300,104,120,33,0,1
0.611849,3746,33068,300,104,120,33,0,1
0.615035,3745,33068,300,104,120,33,0,1
0.618782,3744,33068,300,104,120,33,0,1
0.621736,3743,33068,300,96,120,33,0,1
0.624747,3743,33068,300,104,120,33,0,1
0.627727,3742,33068,300,104,120,33,0,1
0.630741,3741,33068,300,104,120,33,0,1
0.633743,3740,33068,300,104,120,33,0,1
0.636728,3739,33068,300,104,120,33,0,1
0.639745,3738,33068,300,104,120,33,0,1
0.642739,3737,33068,300,104,120,33,0,1
0.645821,3736,33068,300,104,120,33,0,1
0.648835,3735,33068,300,104,120,33,0,1
0.651841,3734,33068,300,104,120,33,0,1
0.655772,3733,33068,300,104,120,33,0,1
0.658743,3732,33068,300,104,120,33,0,1
0.661724,3731,33068,300,104,120,33,0,1
0.664749,3730,33068,300,104,119,34,0,1
0.667734,3729,33068,300,104,120,33,0,1
0.670749,3729,33068,300,104,120,33,0,1
0.673747,3728,33068,300,104,120,33,0,1
0.676731,3727,33068,300,104,120,33,0,1
0.679728,3726,33068,300,104,120,33,0,1
0.682859,3724,33068,300,96,120,33,0,1
0.686878,3723,33118,350,104,120,33,0,1
0.690777,3722,33118,350,96,119,33,0,1
0.693747,3722,33118,350,104,119,33,0,1
0.696749,3721,33118,350,104,120,33,0,1
0.699745,3720,33118,350,104,120,33,0,1
0.702729,3719,33118,350,104,120,33,0,1
0.705754,3718,33118,350,104,120,33,0,1
0.708791,3717,33068,300,104,120,33,0,1
0.711773,3716,33068,300,96,120,33,0,1
0.714743,3715,33068,300,96,120,33,0,1
0.717777,3714,33068,300,96,120,34,0,1
0.720894,3713,33068,300,96,120,33,0,1
0.724091,3712,33068,300,96,120,33,0,1
0.727842,3711,33018,250,96,120,33,0,1
0.730801,3710,33018,250,88,120,33,0,1
0.733824,3710,33018,250,92,120,34,0,1
0.736747,3709,33018,250,92,120,34,0,1
0.739753,3708,33018,250,92,120,33,0,1
0.742735,3707,33018,250,84,120,33,0,1
0.745731,3706,33018,250,84,120,33,0,1
0.748739,3706,33068,300,92,120,33,0,1
0.751840,3705,33068,300,96,120,33,0,1
0.755889,3704,33068,300,96,120,33,0,1
0.759909,3703,33068,300,96,120,33,0,1
0.763895,3701,33068,300,80,120,33,0,1
0.767813,3701,33018,250,88,120,33,0,1
0.770749,3700,33018,250,88,120,33,0,1
0.773763,3699,33018,250,72,119,33,0,1
0.776733,3699,33018,250,80,120,33,0,1
0.779738,3698,33018,250,80,120,33,0,1
0.782736,3697,33018,250,72,120,33,0,1
0.785729,3696,33018,250,72,119,33,0,1
0.788739,3695,33018,250,64,120,33,0,1
0.791749,3695,33018,250,72,119,33,0,1
0.794804,3694,33018,250,76,119,33,0,1
0.797850,3694,33018,250,76,120,34,0,1
0.801774,3693,33018,250,76,120,34,0,1
0.804753,3692,33018,250,68,120,33,0,1
0.807743,3692,32968,200,76,119,34,0,1
0.810736,3691,32968,200,76,119,33,0,1
0.813749,3690,32968,200,76,119,33,0,1
0.816761,3690,32968,200,84,120,33,0,1
0.819738,3689,32968,200,76,119,33,0,1
0.822743,3689,32968,200,84,120,33,0,1
0.825731,3688,32968,200,76,120,33,0,1
0.828731,3688,32968,200,84,120,33,0,1
0.831870,3687,32968,200,68,119,33,0,1
0.835808,3686,32968,200,68,119,33,0,1
0.838755,3685,32968,200,60,120,33,0,1
0.841774,3685,32968,200,60,120,33,0,1
0.844764,3684,32968,200,60,120,33,0,1
0.847739,3684,32968,200,60,120,33,0,1
0.850737,3683,32968,200,60,119,33,0,1
0.853750,3683,32968,200,60,120,33,0,1
0.856749,3682,32968,200,60,119,33,0,1
0.859736,3682,32968,200,60,120,33,0,1
0.862748,3681,32968,200,52,119,33,0,1
0.866445,3680,32968,200,52,120,33,0,1
0.869868,3680,32968,200,52,119,33,0,1
0.873063,3679,32968,200,48,120,33,0,1
0.876787,3679,32968,200,48,120,33,0,1
0.879798,3679,32968,200,48,120,33,0,1
0.882764,3678,32968,200,48,119,33,0,1
0.885742,3678,32968,200,48,119,33,0,1
0.889075,3677,32868,100,40,120,33,0,1
0.892754,3677,32868,100,48,119,33,0,1
0.895743,3677,32868,100,56,120,33,0,1
