t_s,pos,raw_speed,decoded_speed,load,voltage,temp,status,moving
0.000001,3672,0,0,0,120,33,0,1
0.002666,3672,0,0,0,120,33,0,1
0.006565,3672,0,0,0,119,33,0,1
0.010561,3672,0,0,0,120,33,0,1
0.014476,3672,0,0,0,120,33,0,1
0.017525,3672,0,0,1052,120,33,0,1
0.020464,3672,0,0,1052,120,33,0,1
0.023436,3672,0,0,1052,120,33,0,1
0.026466,3672,0,0,1052,119,33,0,1
0.029464,3672,0,0,1060,120,33,0,1
0.032429,3672,0,0,1060,120,33,0,1
0.035429,3672,0,0,1060,120,33,0,1
0.038431,3672,0,0,1068,119,33,0,1
0.041443,3672,0,0,1068,120,33,0,1
0.044433,3672,0,0,1068,120,33,0,1
0.047427,3672,0,0,1068,119,33,0,1
0.050443,3672,0,0,1076,120,33,0,1
0.053510,3672,0,0,1076,120,33,0,1
0.056451,3672,0,0,1084,120,33,0,1
0.059432,3672,0,0,1092,120,33,0,1
0.062544,3672,0,0,1092,119,33,0,1
0.065442,3672,0,0,1100,120,44,0,1
0.068438,3672,0,0,1100,120,43,0,1
0.071429,3673,50,50,1092,120,33,0,1
0.074438,3673,50,50,1100,120,34,0,1
0.077436,3673,50,50,1092,120,33,0,1
0.080430,3673,50,50,1100,120,33,0,1
0.083445,3673,50,50,1100,120,36,0,1
0.086489,3674,50,50,1100,120,33,0,1
0.089499,3674,50,50,1100,120,33,0,1
0.092437,3675,100,100,1100,120,33,0,1
0.095457,3675,100,100,1100,120,33,0,1
0.098444,3676,100,100,1088,120,33,0,1
0.101448,3677,100,100,1088,119,33,0,1
0.104432,3677,100,100,1088,120,33,0,1
0.107438,3678,100,100,1088,119,33,0,1
0.110439,3678,100,100,1088,120,33,0,1
0.113436,3678,150,150,1096,120,33,0,1
0.116441,3679,150,150,1088,120,33,0,1
0.119432,3680,150,150,1088,120,33,0,1
0.122530,3680,150,150,1088,120,33,0,1
0.125609,3681,150,150,1088,120,33,0,1
0.128644,3681,150,150,1088,119,33,0,1
0.132461,3682,200,200,1088,120,33,0,1
0.135466,3682,200,200,1088,119,33,0,1
0.138468,3683,200,200,1076,120,33,0,1
0.142318,3684,200,200,1076,120,33,0,1
0.145482,3684,200,200,1084,119,33,0,1
0.148462,3685,200,200,1076,120,33,0,1
0.151446,3685,150,150,1076,120,33,0,1
0.154492,3686,150,150,1076,119,33,0,1
0.157493,3686,150,150,1080,120,33,0,1
0.160584,3686,150,150,1088,119,39,0,1
0.164595,3687,150,150,1080,120,33,0,1
0.168485,3687,150,150,1088,120,33,0,1
0.171491,3688,150,150,1088,120,33,0,1
0.174560,3688,150,150,1088,120,33,0,1
0.177466,3689,150,150,1084,119,33,0,1
0.180472,3689,150,150,1092,120,33,0,1
0.183448,3689,150,150,1092,120,33,0,1
0.186462,3690,150,150,1092,120,33,0,1
0.189493,3690,150,150,1092,120,41,0,1
0.192659,3691,150,150,1092,120,33,0,1
0.195667,3691,150,150,1088,119,33,0,1
0.199469,3692,150,150,1088,120,33,0,1
0.202512,3692,150,150,1088,119,33,0,1
0.205586,3693,150,150,1088,120,33,0,1
0.209615,3693,100,100,1088,120,33,0,1
0.213632,3694,100,100,1088,120,33,0,1
0.217540,3694,100,100,1088,120,33,0,1
0.220603,3695,100,100,1088,119,33,0,1
0.224542,3695,100,100,1088,120,33,0,1
0.227442,3696,100,100,1088,119,33,0,1
0.230437,3696,150,150,1088,119,33,0,1
0.233440,3697,150,150,1088,119,33,0,1
0.236440,3697,150,150,1088,120,33,0,1
0.239485,3698,150,150,1088,119,33,0,1
0.242449,3698,150,150,1088,120,33,0,1
0.245452,3699,150,150,1088,120,33,0,1
0.248592,3699,150,150,1088,120,33,0,1
0.252510,3700,150,150,1088,119,33,0,1
0.255545,3700,150,150,1088,119,33,0,1
0.258467,3700,150,150,1096,120,33,0,1
0.261458,3701,150,150,1088,120,33,0,1
0.264447,3701,150,150,1088,120,33,0,1
0.267452,3702,150,150,1088,120,33,0,1
0.270442,3702,150,150,1088,120,33,0,1
0.273496,3703,150,150,1088,119,33,0,1
0.276450,3703,150,150,1088,120,33,0,1
0.279443,3704,150,150,1088,120,34,0,1
0.282485,3704,150,150,1088,120,33,0,1
0.285531,3705,150,150,1088,120,33,0,1
0.288513,3705,150,150,1088,119,33,0,1
0.291474,3706,200,200,1088,120,33,0,1
0.294457,3706,200,200,1088,120,33,0,1
0.297444,3707,200,200,1076,120,33,0,1
0.300445,3707,200,200,1084,120,33,0,1
0.303443,3708,200,200,1076,120,33,0,1
0.306490,3708,200,200,1084,120,33,0,1
0.309454,3708,200,200,1084,120,33,0,1
0.312445,3709,100,100,1084,119,33,0,1
0.315443,3709,100,100,1084,120,33,0,1
0.318534,3710,100,100,1092,120,33,0,1
0.321545,3710,100,100,1092,120,33,0,1
0.324469,3711,100,100,1084,119,33,0,1
0.327476,3711,100,100,1092,120,33,0,1
0.330461,3712,200,200,1084,120,34,0,1
0.333463,3712,200,200,1092,120,33,0,1
0.336447,3713,200,200,1076,120,33,0,1
0.339481,3713,200,200,1084,119,33,0,1
0.342452,3714,200,200,1076,120,33,0,1
0.345444,3714,200,200,1084,119,33,0,1
0.348449,3715,200,200,1076,120,33,0,1
0.351445,3715,150,150,1084,120,37,0,1
0.354542,3715,150,150,1084,120,33,0,1
0.357453,3716,150,150,1080,119,33,0,1
0.360445,3716,150,150,1088,120,33,0,1
0.363571,3717,150,150,1080,120,33,0,1
0.366520,3717,150,150,1088,120,33,0,1
0.369455,3718,150,150,1080,119,33,0,1
0.372534,3718,150,150,1088,120,33,0,1
0.375501,3719,150,150,1080,119,33,0,1
0.378452,3719,150,150,1088,119,33,0,1
0.381450,3719,150,150,1088,120,33,0,1
0.384448,3720,150,150,1080,120,33,0,1
0.387447,3720,150,150,1088,120,33,0,1
0.390487,3721,150,150,1080,119,33,0,1
0.393450,3721,150,150,1088,119,33,0,1
0.396448,3722,150,150,1080,120,33,0,1
0.399578,3722,150,150,1088,120,33,0,1
0.403550,3723,150,150,1080,120,33,0,1
0.406600,3723,150,150,1088,120,33,0,1
0.410558,3724,150,150,1080,119,33,0,1
0.413540,3725,150,150,1080,120,35,0,1
0.416468,3725,150,150,1080,120,33,0,1
0.419446,3725,150,150,1088,120,33,0,1
0.422489,3726,150,150,1080,120,33,0,1
0.425456,3726,150,150,1088,120,38,0,1
0.428449,3727,150,150,1080,120,33,0,1
0.431447,3727,150,150,1088,120,33,0,1
0.434483,3728,150,150,1080,119,33,0,1
0.437541,3728,150,150,1088,120,33,0,1
0.440545,3729,150,150,1080,120,33,0,1
0.443481,3729,150,150,1080,120,33,0,1
0.446465,3729,150,150,1088,120,33,0,1
0.449500,3730,150,150,1080,120,33,0,1
0.452454,3730,150,150,1088,120,33,0,1
0.455481,3731,150,150,1080,120,33,0,1
0.458457,3731,150,150,1088,120,33,0,1
0.461453,3732,150,150,1080,120,33,0,1
0.464458,3732,150,150,1088,120,33,0,1
0.467456,3733,150,150,1080,120,33,0,1
0.470506,3733,150,150,1088,120,33,0,1
0.473585,3734,150,150,1080,120,34,0,1
0.477480,3734,150,150,1088,120,33,0,1
0.480492,3735,150,150,1080,120,33,0,1
0.483514,3735,150,150,1080,120,33,0,1
0.486462,3736,150,150,1080,120,34,0,1
0.489485,3736,150,150,1080,120,33,0,1
0.492454,3736,150,150,1088,120,33,0,1
0.495454,3737,150,150,1080,120,33,0,1
0.498457,3737,150,150,1088,120,33,0,1
0.501453,3738,150,150,1080,120,33,0,1
0.504543,3738,150,150,1088,119,33,0,1
0.507588,3739,150,150,1080,120,33,0,1
0.511483,3739,150,150,1088,120,33,0,1
0.514463,3740,150,150,1080,119,33,0,1
0.517488,3740,150,150,1088,120,33,0,1
0.520479,3741,150,150,1080,120,33,0,1
0.523490,3741,150,150,1080,120,34,0,1
0.526457,3742,150,150,1080,120,35,0,1
0.529453,3742,150,150,1080,120,33,0,1
0.532463,3742,150,150,1088,120,33,0,1
0.535457,3743,150,150,1080,119,33,0,1
0.538456,3743,150,150,1088,120,33,0,1
0.541569,3744,150,150,1080,120,33,0,1
0.544614,3744,150,150,1088,120,33,0,1
0.548581,3745,150,150,1080,120,34,0,1
0.552703,3746,150,150,1080,119,33,0,1
0.556523,3746,150,150,1080,120,33,0,1
0.559539,3747,150,150,1080,120,33,0,1
0.562471,3747,150,150,1080,120,33,0,1
0.565504,3747,150,150,1088,119,33,0,1
0.568494,3748,150,150,1080,120,33,0,1
0.571458,3748,150,150,1088,120,33,0,1
0.574494,3749,150,150,1080,120,33,0,1
0.577465,3749,150,150,1088,120,33,0,1
0.580525,3750,150,150,1080,120,33,0,1
0.583633,3750,150,150,1088,120,33,0,1
0.587484,3750,150,150,1088,119,33,0,1
