t_s,pos,raw_speed,decoded_speed,load,voltage,temp,status,moving
0.000003,3897,0,0,0,120,33,0,1
0.003726,3897,0,0,0,119,33,0,1
0.006734,3897,0,0,0,120,33,0,1
0.009673,3897,0,0,24,120,33,0,1
0.012678,3897,0,0,28,120,33,0,1
0.015654,3897,0,0,28,120,33,0,1
0.018651,3897,0,0,28,120,33,0,1
0.021697,3897,0,0,28,120,33,0,1
0.024689,3897,0,0,28,120,33,0,1
0.027655,3897,0,0,28,119,33,0,1
0.030855,3897,0,0,36,120,33,0,1
0.034741,3897,0,0,36,120,33,0,1
0.037676,3897,0,0,36,120,33,0,1
0.040789,3897,0,0,36,120,33,0,1
0.043914,3897,0,0,36,119,33,0,1
0.047668,3897,0,0,36,120,33,0,1
0.050651,3897,0,0,44,120,33,0,1
0.053679,3897,0,0,44,120,33,0,1
0.056706,3897,0,0,44,120,33,0,1
0.059658,3897,0,0,44,120,33,0,1
0.062656,3897,0,0,44,120,33,0,1
0.065709,3897,0,0,44,120,33,0,1
0.068797,3897,0,0,52,120,33,0,1
0.072745,3896,0,0,40,120,33,0,1
0.075743,3896,0,0,40,120,33,0,1
0.078681,3896,0,0,40,120,33,0,1
0.081667,3895,0,0,32,119,33,0,1
0.084654,3895,0,0,32,120,33,0,1
0.087684,3895,32868,100,32,120,33,0,1
0.090679,3895,32868,100,40,120,33,0,1
0.093675,3895,32868,100,40,120,33,0,1
0.096675,3894,32868,100,32,120,33,0,1
0.099657,3894,32868,100,32,120,33,0,1
0.102744,3894,32868,100,32,120,33,0,1
0.105775,3894,32818,50,32,120,33,0,1
0.109719,3894,32818,50,40,120,33,0,1
0.112726,3894,32818,50,40,120,33,0,1
0.115696,3894,32818,50,40,119,33,0,1
0.118655,3894,32818,50,40,119,33,0,1
0.121684,3894,32818,50,40,120,33,0,1
0.124676,3893,32818,50,32,120,33,0,1
0.127665,3893,32818,50,32,120,33,0,1
0.130659,3893,32818,50,40,119,33,0,1
0.133682,3893,32818,50,40,120,33,0,1
0.136777,3893,32818,50,40,119,33,0,1
0.140778,3892,32818,50,32,120,33,0,1
0.144699,3892,32818,50,32,120,33,0,1
0.147683,3892,32818,50,32,120,33,0,1
0.150665,3892,32818,50,40,120,33,0,1
0.153671,3892,32818,50,40,119,33,0,1
0.156668,3892,32818,50,40,120,33,0,1
0.159670,3891,32818,50,32,120,33,0,1
0.162690,3891,32818,50,32,120,33,0,1
0.165790,3891,32818,50,32,120,33,0,1
0.169764,3891,32818,50,40,120,33,0,1
0.173775,3890,32818,50,32,120,33,0,1
0.176988,3890,32818,50,32,120,33,0,1
