t_s,pos,raw_speed,decoded_speed,load,voltage,temp,status,moving
0.000002,3863,0,0,0,120,33,0,1
0.003209,3863,0,0,0,120,33,0,1
0.006578,3863,0,0,0,120,33,0,1
0.009700,3863,0,0,0,120,33,0,1
0.013470,3863,0,0,0,120,33,0,1
0.016458,3863,0,0,1048,120,33,0,1
0.019451,3863,0,0,1048,120,33,0,1
0.022443,3863,0,0,1052,120,33,0,1
0.025448,3863,0,0,1052,120,33,0,1
0.028510,3863,0,0,1060,120,33,0,1
0.031489,3863,0,0,1060,120,33,0,1
0.034456,3863,0,0,1060,120,33,0,1
0.038612,3863,0,0,1068,120,33,0,1
0.042576,3863,0,0,1072,120,33,0,1
0.046524,3863,0,0,1072,120,33,0,1
0.049467,3863,0,0,1080,120,33,0,1
0.052580,3863,0,0,1080,120,33,0,1
0.055693,3863,0,0,1080,120,33,0,1
0.059453,3863,0,0,1088,120,33,0,1
0.062446,3863,0,0,1088,119,33,0,1
0.065444,3863,0,0,1088,120,33,0,1
0.068446,3864,0,0,1088,119,33,0,1
0.071469,3864,0,0,1088,120,33,0,1
0.074493,3864,50,50,1088,120,33,0,1
0.077556,3864,50,50,1088,119,33,0,1
0.080486,3864,50,50,1092,120,33,0,1
0.083458,3864,50,50,1092,120,33,0,1
0.086450,3865,50,50,1084,120,33,0,1
0.089473,3865,50,50,1092,120,33,0,1
0.092454,3866,50,50,1084,120,33,0,1
0.095463,3866,100,100,1084,120,33,0,1
0.098587,3867,100,100,1084,120,33,0,1
0.102577,3867,100,100,1076,120,33,0,1
0.106480,3868,100,100,1068,120,33,0,1
0.109466,3868,100,100,1076,120,33,0,1
0.112550,3869,100,100,1068,119,33,0,1
0.115537,3869,150,150,1068,119,33,0,1
0.118456,3869,150,150,1076,120,34,0,1
0.121491,3870,150,150,1068,120,33,0,1
0.124461,3870,150,150,1068,120,33,0,1
0.127467,3870,150,150,1068,120,33,0,1
0.130454,3871,150,150,1068,120,33,0,1
0.133448,3871,150,150,1068,119,33,0,1
0.136466,3871,100,100,1068,120,33,0,1
0.139453,3872,100,100,1068,120,33,0,1
0.142458,3872,100,100,1072,120,33,0,1
0.145454,3872,100,100,1072,120,33,0,1
0.148555,3872,100,100,1080,120,33,0,1
0.151545,3873,100,100,1072,120,33,0,1
0.154484,3873,100,100,1072,119,33,0,1
0.157468,3873,100,100,1072,119,33,0,1
0.160475,3874,100,100,1072,120,33,0,1
0.163450,3874,100,100,1072,119,33,0,1
0.166450,3874,100,100,1072,119,33,0,1
0.169469,3875,100,100,1072,119,33,0,1
0.172458,3875,100,100,1072,120,33,0,1
0.175463,3875,100,100,1072,120,33,0,1
