t_s,pos,speed,load,voltage,temp,status,moving
0.000001,3796,0,0,120,33,0,1
0.003818,3796,0,0,120,33,0,1
0.007852,3796,0,0,119,33,0,1
0.011813,3796,0,0,119,33,0,1
0.015722,3796,0,0,119,33,0,1
0.018713,3796,0,1048,120,33,0,1
0.021723,3796,0,1048,120,33,0,1
0.024691,3796,0,1048,120,33,0,1
0.027713,3796,0,1048,120,33,0,1
0.030693,3796,0,1056,119,33,0,1
0.033691,3796,0,1056,119,33,0,1
0.036699,3796,0,1064,120,33,0,1
0.039693,3796,0,1072,120,33,0,1
0.042769,3796,0,1072,120,33,0,1
0.045816,3796,0,1072,119,33,0,1
0.048962,3796,0,1080,120,33,0,1
0.052733,3796,0,1080,120,33,0,1
0.055757,3796,0,1080,120,33,0,1
0.058717,3796,0,1088,120,33,0,1
0.061716,3796,0,1088,120,33,0,1
0.064692,3797,0,1080,120,33,0,1
0.067697,3797,0,1080,119,33,0,1
0.070714,3797,50,1088,120,33,0,1
0.073695,3797,50,1088,120,33,0,1
0.076736,3797,50,1084,120,33,0,1
0.079841,3798,50,1084,120,33,0,1
0.083784,3798,50,1084,120,33,0,1
0.086748,3799,50,1076,120,33,0,1
0.089729,3799,100,1084,120,33,0,1
0.092704,3799,100,1084,120,35,0,1
0.095732,3800,100,1068,119,33,0,1
0.098695,3800,100,1076,120,33,0,1
0.101713,3801,100,1068,119,33,0,1
0.104698,3801,100,1068,119,33,0,1
0.107717,3801,100,1068,119,33,0,1
0.110718,3802,150,1068,120,33,0,1
0.113825,3802,150,1072,119,33,0,1
0.116992,3803,150,1064,120,33,0,1
0.120710,3803,150,1072,120,33,0,1
0.123750,3803,150,1072,120,33,0,1
0.126741,3804,150,1064,120,33,0,1
0.129732,3804,100,1072,119,33,0,1
0.132698,3804,100,1072,120,33,0,1
0.135705,3804,100,1072,119,33,0,1
0.138703,3805,100,1072,120,33,0,1
0.141718,3805,100,1072,120,33,0,1
0.144710,3805,100,1072,119,33,0,1
0.147743,3805,50,1080,119,33,0,1
0.150841,3806,50,1072,120,33,0,1
0.153966,3806,50,1072,120,33,0,1
0.157744,3807,50,1072,120,33,0,1
0.160785,3807,50,1072,120,33,0,1
0.163713,3807,50,1072,120,33,0,1
0.166703,3808,50,1064,120,33,0,1
0.169808,3808,150,1072,120,33,0,1
0.172705,3808,150,1072,120,33,0,1
0.175723,3809,150,1064,120,33,0,1
0.178715,3809,150,1072,119,33,0,1
0.181711,3809,150,1072,120,33,0,1
0.184828,3810,150,1064,120,33,0,1
0.188775,3810,100,1072,120,33,0,1
0.191709,3810,100,1072,120,33,0,1
0.194816,3810,100,1072,120,33,0,1
0.197783,3811,100,1072,120,33,0,1
0.200792,3811,100,1072,120,33,0,1
0.203721,3811,100,1072,120,33,0,1
0.206704,3812,100,1064,120,33,0,1
0.209726,3812,100,1072,120,33,0,1
0.212741,3812,100,1072,120,33,0,1
0.215789,3813,100,1060,120,33,0,1
0.218709,3813,100,1068,120,33,0,1
0.221700,3813,100,1068,120,33,0,1
0.224700,3813,100,1068,119,33,0,1
0.227702,3814,100,1068,120,33,0,1
0.230817,3814,100,1068,120,33,0,1
0.234813,3814,100,1076,120,33,0,1
0.237708,3814,100,1084,120,33,0,1
0.240736,3815,100,1076,120,33,0,1
0.243739,3815,100,1076,119,33,0,1
0.246711,3816,100,1068,120,33,0,1
0.249722,3816,100,1076,120,33,0,1
0.252704,3816,100,1076,120,33,0,1
0.255731,3817,100,1064,120,33,0,1
0.258708,3817,100,1072,119,33,0,1
0.261719,3817,100,1072,120,33,0,1
0.264813,3818,100,1064,120,33,0,1
0.267817,3818,100,1072,120,33,0,1
0.270727,3819,100,1064,120,33,0,1
0.273716,3819,100,1060,119,33,0,1
0.276746,3819,100,1060,120,33,0,1
0.279739,3820,100,1060,120,33,0,1
0.282731,3820,100,1060,120,33,0,1
0.285704,3820,100,1060,120,33,0,1
0.288704,3820,100,1068,120,33,0,1
0.291719,3820,100,1068,120,33,0,1
0.294705,3820,100,1076,120,33,0,1
0.297700,3821,100,1076,120,33,0,1
0.300815,3821,100,1076,120,33,0,1
0.303800,3821,100,1076,120,33,0,1
0.306713,3822,100,1068,119,33,0,1
0.309827,3822,100,1076,120,33,0,1
0.312733,3822,100,1076,120,33,0,1
0.315720,3823,100,1064,119,33,0,1
0.318714,3823,100,1072,120,33,0,1
0.321703,3823,100,1072,119,33,0,1
0.324710,3824,100,1064,120,33,0,1
0.327708,3824,100,1072,120,33,0,1
0.330704,3824,100,1072,120,33,0,1
0.333719,3825,100,1060,119,33,0,1
0.336856,3825,100,1068,120,33,0,1
0.340772,3826,100,1060,120,33,0,1
0.343801,3826,100,1060,119,33,0,1
0.346724,3826,100,1060,120,33,0,1
0.349721,3826,100,1068,120,33,0,1
0.352706,3826,100,1068,119,33,0,1
0.355709,3827,100,1068,119,33,0,1
0.358731,3827,100,1076,119,34,0,1
0.361721,3827,100,1076,120,33,0,1
0.364718,3827,100,1076,120,33,0,1
0.367712,3827,50,1084,120,33,0,1
0.370764,3828,50,1076,120,33,0,1
0.373841,3828,50,1072,120,33,0,1
0.377791,3828,50,1080,120,33,0,1
0.380727,3829,50,1072,120,33,0,1
0.383755,3829,50,1072,120,33,0,1
0.386716,3830,50,1064,120,33,0,1
0.389707,3830,150,1072,119,33,0,1
0.392709,3830,150,1072,119,33,0,1
0.395771,3831,150,1064,120,33,0,1
0.398776,3831,150,1072,120,33,0,1
0.401763,3831,150,1072,119,33,0,1
0.404748,3832,150,1064,120,33,0,1
0.407803,3832,100,1072,120,33,0,1
0.410817,3832,100,1072,120,33,0,1
0.413715,3833,100,1060,120,33,0,1
0.416731,3833,100,1060,120,33,0,1
0.419726,3833,100,1068,120,33,0,1
0.422716,3833,100,1068,120,33,0,1
0.425721,3833,100,1068,120,33,0,1
0.428712,3834,100,1068,120,33,0,1
0.431712,3834,100,1068,120,33,0,1
0.434715,3834,100,1076,120,33,0,1
0.437732,3834,100,1084,120,33,0,1
0.440715,3835,100,1076,119,33,0,1
0.443842,3835,100,1076,120,33,0,1
0.447811,3836,100,1076,120,33,0,1
0.450721,3836,100,1076,120,33,0,1
0.453761,3836,100,1072,120,33,0,1
0.456736,3837,100,1064,120,33,0,1
0.459719,3837,100,1072,120,33,0,1
