t_s,pos,speed,load,voltage,temp,status,moving
0.000000,3905,0,0,120,33,0,1
0.003965,3905,0,0,120,33,0,1
0.007873,3905,0,0,120,33,0,1
0.010833,3905,0,24,120,34,0,1
0.013807,3905,0,24,120,33,0,1
0.016818,3905,0,24,120,33,0,1
0.019821,3905,0,24,119,33,0,1
0.022808,3905,0,28,120,33,0,1
0.025817,3905,0,28,120,33,0,1
0.028807,3905,0,36,120,33,0,1
0.031800,3905,0,36,119,33,0,1
0.034817,3905,0,36,120,33,0,1
0.037919,3905,0,36,120,33,0,1
0.041102,3905,0,36,120,33,0,1
0.044821,3905,0,36,120,33,0,1
0.047818,3905,0,36,120,33,0,1
0.050934,3905,0,44,120,33,0,1
0.056551,3905,0,44,120,33,0,1
0.059853,3905,0,44,120,33,0,1
0.062809,3905,0,44,120,33,0,1
0.065807,3905,0,44,120,33,0,1
0.068808,3904,0,44,120,33,0,1
0.071800,3904,0,44,120,33,0,1
0.074957,3904,-32718,44,120,33,0,1
0.078088,3904,-32718,44,120,33,0,1
0.081818,3904,-32718,40,120,33,0,1
0.084832,3904,-32718,40,120,33,0,1
0.087850,3904,-32718,40,120,33,0,1
0.090823,3904,-32718,48,120,33,0,1
0.093806,3904,-32718,48,119,33,0,1
0.096801,3903,-32718,40,120,33,0,1
0.099810,3903,-32718,40,120,33,0,1
0.102802,3903,-32718,40,120,33,0,1
0.105803,3903,-32718,40,120,33,0,1
0.108894,3902,-32718,40,120,33,0,1
0.111949,3902,-32718,40,120,33,0,1
0.115063,3902,-32718,40,120,33,0,1
0.118853,3901,-32718,32,120,33,0,1
0.121824,3901,-32718,28,119,33,0,1
0.124825,3901,-32718,28,120,33,0,1
0.127809,3901,-32718,28,120,33,0,1
0.130813,3900,-32718,28,120,33,0,1
0.133823,3900,-32718,28,119,33,0,1
0.136809,3900,-32668,28,120,33,0,1
0.139803,3900,-32668,28,120,33,0,1
0.142834,3900,-32668,32,120,33,0,1
0.145808,3899,-32668,24,120,33,0,1
0.148812,3899,-32668,32,120,33,0,1
0.151808,3899,-32668,32,119,33,0,1
0.154944,3899,-32718,32,120,33,0,1
0.158914,3899,-32718,32,120,33,0,1
0.161813,3899,-32718,32,120,33,0,1
0.164819,3899,-32718,32,119,33,0,1
0.167838,3899,-32718,32,120,33,0,1
0.170823,3899,-32718,40,120,33,0,1
0.173825,3899,-32718,40,120,33,0,1
0.176821,3898,0,32,120,33,0,1
0.179810,3898,0,32,120,33,0,1
0.182807,3898,0,32,120,33,0,1
0.185824,3898,0,32,120,33,0,1
0.188873,3898,0,40,120,33,0,1
0.191945,3898,0,40,120,33,0,1
0.195824,3898,-32718,40,120,33,0,1
0.198830,3897,-32718,32,120,33,0,1
0.201886,3897,-32718,32,120,33,0,1
0.204816,3897,-32718,32,120,33,0,1
0.207828,3897,-32718,32,120,33,0,1
0.210822,3897,-32718,40,120,33,0,1
0.213815,3897,-32718,40,120,33,0,1
0.216824,3896,-32668,32,120,33,0,1
0.219811,3896,-32668,32,120,33,0,1
0.222829,3896,-32668,32,120,33,0,1
0.225952,3896,-32668,32,120,33,0,1
0.229879,3895,-32668,32,120,33,0,1
0.232833,3895,-32668,32,119,33,0,1
0.235847,3895,-32718,32,120,33,0,1
0.238821,3895,-32718,32,120,33,0,1
0.241843,3895,-32718,32,120,33,0,1
0.244812,3895,-32718,32,120,33,0,1
0.247820,3894,-32718,24,120,33,0,1
0.250926,3894,-32718,32,120,33,0,1
0.253913,3894,-32718,32,120,33,0,1
0.256856,3894,-32718,32,120,33,0,1
0.259831,3894,-32718,32,120,33,0,1
0.262961,3894,-32718,32,120,33,0,1
0.266906,3894,-32718,32,120,33,0,1
0.269857,3894,-32718,40,120,33,0,1
0.272820,3894,-32718,40,119,33,0,1
0.275828,3894,0,40,120,33,0,1
0.278827,3894,0,40,120,33,0,1
0.281813,3893,0,32,120,33,0,1
0.284834,3893,0,32,120,33,0,1
0.287831,3893,0,32,120,33,0,1
0.290827,3893,0,40,120,33,0,1
0.293820,3893,0,40,120,33,0,1
0.296913,3893,-32718,40,120,33,0,1
0.299908,3892,-32718,32,120,33,0,1
0.302855,3892,-32718,32,120,33,0,1
0.305833,3892,-32718,32,120,33,0,1
0.308834,3892,-32718,40,120,33,0,1
0.311818,3892,-32718,40,120,33,0,1
0.314814,3892,-32718,40,119,33,0,1
0.317840,3892,-32718,40,120,33,0,1
0.320821,3892,-32718,40,120,33,0,1
0.323821,3892,-32718,44,120,33,0,1
0.326815,3891,-32718,36,120,33,0,1
0.329817,3891,-32718,44,120,33,0,1
0.332887,3891,-32718,44,120,33,0,1
0.335968,3891,-32718,44,120,33,0,1
0.339969,3890,-32718,36,120,33,0,1
0.343052,3890,-32718,28,120,33,0,1
0.346835,3890,-32718,28,120,33,0,1
0.349844,3890,-32718,36,120,33,0,1
0.352817,3889,-32718,28,120,33,0,1
0.355813,3889,-32668,28,119,33,0,1
0.358825,3889,-32668,28,120,33,0,1
0.361834,3889,-32668,32,120,33,0,1
0.364817,3889,-32668,32,120,33,0,1
0.367863,3888,-32668,32,120,33,0,1
0.370960,3888,-32668,32,120,33,0,1
0.374878,3888,-32718,32,120,33,0,1
0.377836,3888,-32718,32,120,33,0,1
0.380848,3888,-32718,32,120,33,0,1
0.383817,3888,-32718,32,120,33,0,1
0.386849,3888,-32718,32,120,33,0,1
0.389836,3887,-32718,32,120,33,0,1
0.392825,3887,-32718,32,120,33,0,1
0.395818,3887,-32718,32,120,33,0,1
0.398821,3887,-32718,32,120,33,0,1
0.401836,3886,-32718,24,120,33,0,1
0.404902,3886,-32718,24,120,33,0,1
0.407930,3886,-32718,32,120,33,0,1
0.410823,3886,-32718,32,120,33,0,1
0.413834,3886,-32718,32,120,33,0,1
0.416830,3886,-32718,32,120,33,0,1
0.419841,3886,-32718,32,120,33,0,1
