t_s,pos,speed,load,voltage,temp,status,moving
0.000002,3793,0,0,120,33,0,1
0.003268,3793,0,0,120,33,0,1
0.007149,3793,0,0,120,33,0,1
0.010156,3793,0,0,119,33,0,1
0.013149,3793,0,0,120,33,0,1
0.016103,3793,0,0,120,33,0,1
0.019101,3793,0,1048,120,33,0,1
0.022101,3793,0,1052,120,33,0,1
0.025099,3793,0,1052,120,33,0,1
0.028150,3793,0,1052,120,33,0,1
0.031124,3793,0,1060,120,33,0,1
0.034220,3793,0,1060,120,33,0,1
0.038257,3793,0,1068,120,33,0,1
0.042119,3793,0,1072,120,33,0,1
0.045173,3793,0,1072,120,33,0,1
0.048186,3793,0,1072,120,33,0,1
0.051136,3794,0,1072,119,33,0,1
0.054108,3794,50,1072,120,33,0,1
0.057134,3794,50,1072,120,33,0,1
0.060117,3794,50,1076,120,33,0,1
0.063103,3794,50,1076,119,33,0,1
0.066110,3795,50,1068,119,33,0,1
0.069176,3795,50,1076,120,33,0,1
0.072290,3795,50,1076,120,33,0,1
0.076291,3795,50,1076,120,33,0,1
0.080298,3795,50,1084,120,33,0,1
0.084149,3796,50,1076,120,33,0,1
0.087227,3796,50,1076,120,33,0,1
0.091137,3797,50,1076,120,33,0,1
0.094149,3797,100,1076,119,33,0,1
0.097126,3797,100,1076,120,33,0,1
0.100142,3798,100,1068,120,33,0,1
0.103160,3798,100,1068,119,33,0,1
0.106124,3799,100,1060,120,33,0,1
0.109140,3799,100,1068,120,33,0,1
0.112262,3799,100,1068,120,33,0,1
0.116195,3799,100,1068,120,33,0,1
0.119145,3800,100,1072,120,33,0,1
0.122156,3800,100,1072,119,33,0,1
0.125136,3800,100,1072,120,33,0,1
0.128125,3801,100,1072,119,33,0,1
0.131111,3801,100,1072,120,33,0,1
0.134108,3801,100,1072,120,33,0,1
0.137107,3802,100,1064,120,33,0,1
0.140104,3802,100,1072,120,33,0,1
0.143106,3802,100,1072,119,33,0,1
0.146108,3803,100,1064,120,33,0,1
0.149205,3803,100,1072,120,33,0,1
0.152163,3803,100,1072,120,33,0,1
0.155145,3804,100,1064,119,33,0,1
0.158244,3804,100,1072,120,33,0,1
0.161516,3804,100,1072,120,33,0,1
0.165126,3805,100,1064,120,33,0,1
0.168118,3805,100,1072,120,33,0,1
0.171112,3805,100,1072,119,33,0,1
0.174107,3805,100,1072,120,33,0,1
0.177127,3806,100,1064,120,33,0,1
0.180117,3806,100,1072,120,33,0,1
0.183107,3807,100,1064,120,33,0,1
0.186116,3807,100,1064,120,33,0,1
0.189110,3807,100,1072,120,33,0,1
0.192110,3807,100,1072,120,33,0,1
0.195199,3808,100,1064,120,33,0,1
0.198181,3808,100,1072,119,33,0,1
0.201114,3808,100,1072,120,33,0,1
0.204173,3808,100,1072,120,33,0,1
0.207140,3809,100,1064,119,33,0,1
0.210171,3809,100,1072,120,33,0,1
0.213117,3809,100,1072,120,33,0,1
0.216108,3810,100,1064,120,33,0,1
0.219119,3810,100,1072,120,33,0,1
0.222112,3810,100,1072,120,33,0,1
0.225117,3811,100,1064,119,33,0,1
0.228160,3811,100,1072,120,33,0,1
0.231203,3811,100,1072,120,33,0,1
0.234180,3812,100,1064,120,33,0,1
0.237113,3812,100,1064,120,33,0,1
0.240151,3812,100,1072,120,33,0,1
0.243158,3812,100,1072,120,33,0,1
0.246128,3813,100,1064,120,33,0,1
0.249110,3813,100,1072,120,33,0,1
0.252119,3813,100,1072,119,33,0,1
0.255114,3814,100,1064,120,33,0,1
0.258157,3814,100,1072,120,33,0,1
0.261116,3814,100,1072,120,33,0,1
0.264117,3814,100,1072,120,33,0,1
0.267453,3815,100,1072,120,33,0,1
0.271300,3815,100,1072,119,33,0,1
0.275293,3816,100,1064,119,33,0,1
0.278441,3816,100,1072,119,33,0,1
0.282276,3816,100,1072,120,33,0,1
0.286149,3817,100,1064,120,33,0,1
0.289122,3817,100,1072,120,33,0,1
0.292137,3817,100,1072,120,33,0,1
0.295118,3818,150,1064,120,33,0,1
0.298116,3818,150,1072,120,33,0,1
0.301128,3818,150,1072,120,33,0,1
0.304142,3819,150,1064,120,33,0,1
0.307155,3819,150,1064,119,33,0,1
0.310132,3819,150,1072,119,33,0,1
0.313240,3820,100,1064,120,33,0,1
0.316129,3820,100,1064,120,33,0,1
0.319139,3820,100,1072,120,33,0,1
0.322119,3820,100,1072,120,33,0,1
0.325113,3820,100,1072,120,33,0,1
0.328142,3821,100,1072,120,33,0,1
0.331118,3821,100,1072,120,33,0,1
0.334132,3822,50,1064,120,33,0,1
0.337135,3822,50,1064,120,33,0,1
0.340188,3822,50,1072,120,33,0,1
0.343226,3822,50,1072,120,33,0,1
0.346169,3823,50,1064,120,33,0,1
0.349140,3823,50,1072,119,33,0,1
0.352149,3823,50,1072,120,33,0,1
0.355126,3824,150,1064,120,33,0,1
0.358126,3824,150,1072,120,33,0,1
0.361118,3824,150,1072,120,33,0,1
0.364124,3825,150,1064,120,33,0,1
0.367117,3825,150,1064,119,33,0,1
0.370153,3825,150,1072,120,33,0,1
0.373130,3826,100,1064,120,33,0,1
0.376180,3826,100,1064,120,33,0,1
0.379231,3826,100,1072,120,33,0,1
0.382168,3826,100,1072,120,33,0,1
0.385163,3827,100,1064,120,33,0,1
0.388135,3827,100,1072,120,33,0,1
0.391143,3827,100,1072,120,33,0,1
0.394136,3827,50,1072,120,33,0,1
0.397126,3827,50,1072,120,33,0,1
0.400124,3828,50,1072,120,33,0,1
0.403138,3828,50,1072,120,33,0,1
0.406121,3829,50,1064,120,33,0,1
0.409122,3829,50,1072,120,33,0,1
0.412247,3829,100,1072,120,33,0,1
0.416272,3829,100,1072,120,33,0,1
0.420148,3830,100,1072,120,33,0,1
0.423149,3830,100,1072,119,33,0,1
0.426138,3831,100,1064,120,33,0,1
0.429163,3831,100,1072,120,33,0,1
0.432124,3831,100,1072,119,33,0,1
0.435119,3831,100,1072,120,33,0,1
0.438118,3832,100,1072,120,33,0,1
0.441159,3832,100,1072,119,33,0,1
0.444123,3832,100,1072,120,33,0,1
0.447156,3833,100,1072,120,33,0,1
0.450268,3833,100,1072,120,33,0,1
