t_s,pos,speed_raw,speed_mag,speed,load,voltage,temp,status,moving
0.000001,3901,0,0,0,20,120,36,0,1
0.003765,3901,0,0,0,0,119,36,0,1
0.007750,3901,0,0,0,0,119,36,0,1
0.010955,3901,0,0,0,0,120,36,0,1
0.014763,3901,0,0,0,0,120,36,0,1
0.018761,3901,0,0,0,0,119,36,0,1
0.022778,3901,0,0,0,0,119,36,0,1
0.025966,3901,0,0,0,0,120,36,0,1
0.029758,3901,0,0,0,24,120,36,0,1
0.033786,3901,0,0,0,24,119,36,0,1
0.037772,3901,0,0,0,24,120,36,0,1
0.040983,3901,0,0,0,40,119,36,0,1
0.044795,3901,0,0,0,40,120,36,0,1
0.047949,3901,0,0,0,40,119,36,0,1
0.051794,3901,0,0,0,48,119,36,0,1
0.055806,3901,0,0,0,48,119,36,0,1
0.059797,3900,0,0,0,48,120,36,0,1
0.062956,3900,0,0,0,44,119,36,0,1
0.066808,3900,0,0,0,44,120,36,0,1
0.070790,3900,0,0,0,52,120,36,0,1
0.074755,3900,32818,50,-50,52,119,36,0,1
0.077940,3900,32818,50,-50,60,120,36,0,1
0.081785,3899,32818,50,-50,52,119,36,0,1
0.085791,3899,32818,50,-50,60,120,36,0,1
0.089799,3898,32818,50,-50,52,120,36,0,1
0.092995,3898,32818,50,-50,60,119,36,0,1
0.096802,3898,32868,100,-100,60,119,36,0,1
0.100807,3898,32868,100,-100,72,119,36,0,1
0.104751,3898,32868,100,-100,80,120,36,0,1
0.108263,3898,32868,100,-100,80,120,37,0,1
0.111781,3897,32868,100,-100,80,119,36,0,1
0.115804,3896,32818,50,-50,72,120,36,0,1
0.119797,3896,32818,50,-50,80,120,36,0,1
0.123047,3895,32818,50,-50,76,120,36,0,1
0.132722,3893,32818,50,-50,68,120,36,0,1
0.136859,3892,32968,200,-200,68,119,36,0,1
0.140772,3892,32968,200,-200,72,120,36,0,1
0.144786,3891,32968,200,-200,72,120,36,0,1
0.148778,3890,32968,200,-200,64,120,36,0,1
0.152798,3890,32968,200,-200,72,120,36,0,1
0.157406,3889,32968,200,-200,72,119,36,0,1
0.160362,3888,32968,200,-200,72,120,36,0,1
0.163890,3888,32968,200,-200,72,120,36,0,1
0.168810,3887,32968,200,-200,80,120,36,0,1
0.172776,3886,32968,200,-200,72,120,36,0,1
0.176862,3885,32918,150,-150,72,120,36,0,1
0.186409,3884,32918,150,-150,84,119,36,0,1
0.189786,3883,32918,150,-150,84,119,36,0,1
0.193848,3882,32918,150,-150,84,120,36,0,1
0.196960,3882,32968,200,-200,92,119,36,0,1
0.200775,3881,32968,200,-200,92,119,36,0,1
0.204794,3880,32968,200,-200,92,120,36,0,1
0.208789,3879,32968,200,-200,92,119,36,0,1
0.211923,3879,32968,200,-200,100,120,36,0,1
0.215782,3878,32968,200,-200,100,119,36,0,1
0.219811,3877,32968,200,-200,100,120,36,0,1
0.224032,3876,32968,200,-200,100,120,36,0,1
0.226942,3876,32968,200,-200,108,119,36,0,1
0.230764,3875,32968,200,-200,108,120,36,0,1
0.238164,3873,32968,200,-200,108,119,36,0,1
0.241728,3872,32968,200,-200,108,120,36,0,1
0.246147,3871,32968,200,-200,108,120,36,0,1
0.248944,3870,32968,200,-200,108,120,36,0,1
0.252671,3869,32968,200,-200,116,120,36,0,1
0.255710,3868,33068,300,-300,108,119,36,0,1
0.259765,3867,33068,300,-300,116,120,36,0,1
0.263772,3866,33068,300,-300,116,120,36,0,1
0.267725,3864,33068,300,-300,108,120,36,0,1
0.271773,3863,33068,300,-300,108,120,36,0,1
0.277127,3862,33018,250,-250,116,119,36,0,1
0.280160,3861,33018,250,-250,116,120,36,0,1
0.283920,3860,33018,250,-250,112,119,36,0,1
0.286963,3859,33018,250,-250,112,119,36,0,1
0.291009,3857,33018,250,-250,104,119,36,0,1
0.293915,3856,33118,350,-350,104,120,36,0,1
0.297716,3855,33118,350,-350,104,120,36,0,1
0.301729,3854,33118,350,-350,112,120,36,0,1
0.305764,3853,33118,350,-350,112,120,36,0,1
0.308987,3852,33118,350,-350,112,120,36,0,1
0.312730,3851,33118,350,-350,112,120,36,0,1
0.316736,3850,33068,300,-300,112,120,36,0,1
0.322269,3847,33068,300,-300,104,120,36,0,1
