t_s,pos,speed_raw,speed_mag,speed,load,voltage,temp,status,moving
0.000001,4093,0,0,0,0,120,37,0,0
0.006938,4093,0,0,0,0,119,37,0,0
0.010737,4093,0,0,0,0,120,36,0,0
0.013756,4093,0,0,0,0,119,36,0,0
0.016699,4093,0,0,0,0,120,36,0,1
0.019674,4093,0,0,0,0,120,37,0,1
0.022719,4093,0,0,0,0,120,36,0,1
0.025741,4093,0,0,0,0,120,37,0,1
0.030040,4093,0,0,0,0,119,36,0,1
0.033874,4093,0,0,0,0,120,36,0,1
0.037738,4093,0,0,0,24,119,37,0,1
0.040821,4093,0,0,0,24,120,37,0,1
0.043938,4093,0,0,0,28,119,37,0,1
0.047667,4093,0,0,0,28,119,37,0,1
0.050659,4093,0,0,0,28,119,36,0,1
0.053697,4093,0,0,0,28,119,37,0,1
0.056682,4093,0,0,0,36,120,37,0,1
0.059659,4093,0,0,0,36,120,36,0,1
0.062656,4093,0,0,0,36,120,37,0,1
0.065906,4093,0,0,0,36,119,36,0,1
0.069675,4093,0,0,0,36,120,36,0,1
0.072652,4093,0,0,0,36,119,37,0,1
0.075791,4093,0,0,0,44,120,37,0,1
0.078662,4093,0,0,0,44,119,37,0,1
0.081671,4093,0,0,0,44,120,36,0,1
0.084684,4093,0,0,0,44,119,37,0,1
0.087675,4093,0,0,0,44,119,37,0,1
0.090688,4093,0,0,0,44,120,36,0,1
0.093686,4093,0,0,0,44,120,36,0,1
0.096682,4093,0,0,0,52,120,37,0,1
0.099682,4093,0,0,0,52,120,36,0,1
0.102678,4093,0,0,0,52,120,37,0,1
0.105693,4093,0,0,0,52,120,36,0,1
0.109092,4093,0,0,0,52,120,36,0,1
0.112807,4093,0,0,0,52,119,37,0,1
0.116952,4092,32818,50,-50,52,120,37,0,1
0.120809,4092,32818,50,-50,52,119,37,0,1
0.125026,4092,32818,50,-50,48,120,36,0,1
0.128837,4091,32818,50,-50,40,119,37,0,1
0.132956,4091,32818,50,-50,40,119,37,0,1
0.136900,4090,32818,50,-50,40,120,37,0,1
0.140747,4090,32818,50,-50,40,120,37,0,1
0.143793,4090,32818,50,-50,36,120,37,0,1
0.146679,4090,32818,50,-50,36,120,37,0,1
0.149704,4090,32818,50,-50,36,119,36,0,1
0.152754,4090,32818,50,-50,36,119,37,0,1
0.155851,4090,32818,50,-50,44,119,36,0,1
0.159749,4090,32818,50,-50,44,120,36,0,1
0.162731,4090,32818,50,-50,52,120,36,0,1
0.165746,4090,32818,50,-50,52,120,37,0,1
0.168721,4089,32818,50,-50,44,120,37,0,1
0.171739,4089,32818,50,-50,44,120,36,0,1
0.174742,4089,32818,50,-50,52,120,36,0,1
0.177689,4089,32818,50,-50,52,119,36,0,1
0.180680,4089,32818,50,-50,52,120,36,0,1
0.183699,4088,32818,50,-50,36,119,36,0,1
0.186745,4088,32818,50,-50,36,120,36,0,1
0.189873,4088,32818,50,-50,36,119,37,0,1
0.193872,4088,32818,50,-50,44,120,36,0,1
0.197924,4087,32868,100,-100,36,119,36,0,1
0.201842,4087,32868,100,-100,40,120,36,0,1
0.206000,4087,32868,100,-100,40,120,36,0,1
0.209721,4087,32868,100,-100,40,120,37,0,1
0.212743,4087,32868,100,-100,40,119,37,0,1
0.215770,4086,32868,100,-100,40,120,36,0,1
0.218770,4086,32818,50,-50,40,120,37,0,1
0.222775,4086,32818,50,-50,40,120,37,0,1
0.225986,4086,32818,50,-50,40,120,37,0,1
0.229901,4086,32818,50,-50,40,119,36,0,1
0.233833,4086,32818,50,-50,48,120,36,0,1
0.237913,4086,0,0,0,48,120,37,0,1
0.241952,4086,0,0,0,52,120,36,0,1
0.245907,4085,0,0,0,44,119,36,0,1
0.249821,4085,0,0,0,44,120,37,0,1
0.253762,4085,0,0,0,52,120,37,0,1
0.256994,4085,32818,50,-50,52,119,36,0,1
0.260734,4085,32818,50,-50,52,120,37,0,1
0.263955,4085,32818,50,-50,48,119,36,0,1
0.267840,4084,32818,50,-50,40,120,37,0,1
0.271824,4084,32818,50,-50,40,119,37,0,1
0.275918,4084,32818,50,-50,48,120,37,0,1
0.279785,4084,32818,50,-50,48,119,37,0,1
0.283785,4083,32818,50,-50,40,119,36,0,1
0.287108,4083,32818,50,-50,40,119,37,0,1
0.290829,4083,32818,50,-50,40,120,37,0,1
0.294094,4083,32818,50,-50,48,120,37,0,1
0.297844,4083,32818,50,-50,48,119,37,0,1
0.301037,4082,32818,50,-50,40,119,36,0,1
0.304953,4082,32818,50,-50,36,119,37,0,1
0.308853,4082,32818,50,-50,36,120,36,0,1
0.312824,4082,32818,50,-50,36,120,37,0,1
0.316060,4081,32868,100,-100,36,119,36,0,1
0.319820,4081,32868,100,-100,36,120,36,0,1
0.323845,4081,32868,100,-100,40,119,37,0,1
0.327924,4080,32868,100,-100,32,120,37,0,1
0.331818,4080,32868,100,-100,32,120,36,0,1
0.335927,4080,32818,50,-50,40,120,37,0,1
0.339859,4080,32818,50,-50,40,120,36,0,1
0.343838,4080,32818,50,-50,40,120,37,0,1
0.347858,4080,32818,50,-50,40,119,36,0,1
0.351813,4079,32818,50,-50,32,120,36,0,1
0.355877,4079,32818,50,-50,40,120,37,0,1
0.359786,4079,32818,50,-50,40,119,37,0,1
0.363774,4078,32818,50,-50,32,120,36,0,1
0.366876,4078,32818,50,-50,32,120,36,0,1
0.370808,4078,32818,50,-50,32,120,37,0,1
0.374904,4078,32818,50,-50,40,120,36,0,1
0.378921,4078,32818,50,-50,40,120,37,0,1
0.382842,4077,32818,50,-50,28,119,37,0,1
0.386935,4077,32818,50,-50,28,120,36,0,1
0.390806,4076,32818,50,-50,20,120,36,0,1
0.394941,4076,32868,100,-100,28,119,37,0,1
0.398861,4076,32868,100,-100,28,120,36,0,1
0.402837,4076,32868,100,-100,32,120,36,0,1
0.410818,4076,32868,100,-100,32,120,36,0,1
0.414902,4076,0,0,0,40,120,37,0,1
0.418830,4076,0,0,0,40,120,37,0,1
0.422841,4076,0,0,0,44,119,37,0,1
0.426058,4076,0,0,0,44,119,37,0,1
0.429920,4076,0,0,0,44,120,36,0,1
0.433896,4075,0,0,0,44,120,37,0,1
0.438018,4075,32818,50,-50,44,120,37,0,1
0.441880,4075,32818,50,-50,40,120,37,0,1
0.445945,4074,32818,50,-50,32,120,37,0,1
0.449758,4074,32818,50,-50,32,120,36,0,1
0.452741,4074,32818,50,-50,32,119,37,0,1
0.455779,4074,32818,50,-50,40,119,36,0,1
0.458739,4074,32818,50,-50,40,120,36,0,1
0.461739,4074,32818,50,-50,40,120,37,0,1
0.468748,4073,32818,50,-50,32,119,36,0,1
0.471749,4072,32818,50,-50,24,119,37,0,1
0.477945,4072,32868,100,-100,32,120,37,0,1
0.481759,4072,32868,100,-100,28,120,37,0,1
0.488811,4072,32868,100,-100,28,120,36,0,1
0.492763,4072,32868,100,-100,28,120,36,0,1
0.495774,4071,32818,50,-50,28,119,36,0,1
0.498757,4071,32818,50,-50,28,120,37,0,1
0.501811,4071,32818,50,-50,32,119,36,0,1
0.505925,4071,32818,50,-50,32,120,36,0,1
0.509807,4071,32818,50,-50,32,120,37,0,1
